Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2007,3,7,25,3,7/25/2007,CO,19704,CO,N24633,506,11066,1106601,31066,CMH,"Columbus, OH",OH,39,Ohio,44,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,620,611,-9,0,0,-1,0600-0659,12,623,740,12,803,752,-11,0,0,-1,0800-0859,0,,0,103,101,77,1,462,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N33289,1719,15304,1530401,33195,TPA,"Tampa, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1112,1058,-14,0,0,-1,1100-1159,17,1115,1325,7,1359,1332,-27,0,0,-2,1300-1359,0,,0,167,154,130,1,998,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N14660,639,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2010,1958,-12,0,0,-1,2000-2059,19,2017,2241,7,2320,2248,-32,0,0,-2,2300-2359,0,,0,190,170,144,1,1086,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N11612,1117,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,630,628,-2,0,0,-1,0600-0659,21,649,735,11,750,746,-4,0,0,-1,0700-0759,0,,0,80,78,46,1,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N27724,1010,12266,1226602,31453,IAH,"Houston, TX",TX,48,Texas,74,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1725,1724,-1,0,0,-1,1700-1759,15,1739,2135,9,2229,2144,-45,0,0,-2,2200-2259,0,,0,244,200,176,1,1400,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N18112,529,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1757,1755,-2,0,0,-1,1700-1759,14,1809,2337,13,2348,2350,2,2,0,0,2300-2359,0,,0,231,235,208,1,1605,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N13138,319,15304,1530401,33195,TPA,"Tampa, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1705,1715,10,10,0,0,1700-1759,19,1734,1946,13,2013,1959,-14,0,0,-1,2000-2059,0,,0,188,164,132,1,998,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N27213,549,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1300,1255,-5,0,0,-1,1300-1359,23,1318,2133,16,2140,2149,9,9,0,0,2100-2159,0,,0,340,354,315,1,2565,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N14601,1141,13232,1323201,30977,MDW,"Chicago, IL",IL,17,Illinois,41,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1940,1952,12,12,0,0,1900-1959,40,2032,2343,6,2305,2349,44,44,1,2,2300-2359,0,,0,145,177,131,1,711,3,12,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,7,25,3,7/25/2007,CO,19704,CO,N17229,455,14027,1402701,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,12,Florida,33,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2000,1949,-11,0,0,-1,2000-2059,14,2003,2221,9,2258,2230,-28,0,0,-2,2200-2259,0,,0,178,161,138,1,1024,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
